Water quality control area,Source,Monitoring station,Date,Sample number,Depth,Five-day biochemical oxygen demand (mg/L),Chlorophyll-a (µg/L),Dissolved oxygen saturation percentage (percentage),Dissolved oxygen (mg/L),Escherichia coli (colony count/100 ml),Fecal coliforms (colony count/100 ml),Nitrate nitrogen (mg/L),Nitrite nitrogen (mg/L),pH value,Magnesium-depleted pigment (µg/L),Salinity (psu),Transparency (meters),Silicon (silicon dioxide) (mg/L),Suspended solids (mg/L),Temperature (Celsius),Inorganic nitrogen (mg/L),Kjeldahl nitrogen (mg/L),Total nitrogen (mg/L),Total phosphorus (mg/L),Turbidity (NTU),Non-ionized ammonia nitrogen (mg/L),Total volatile solids (mg/L),Ammonia nitrogen (mg/L),Orthophosphate (mg/L)
South District,Bay,SM20,2020-09-27,1,bottom layer,1,2.1,93,7,<1,2,0.15,0.016,8,0.6,30.4,3,1.3,8.8,20.7,0.28,0.29,0.46,0.05,1.5,0.004,1.9,0.037,0.021
South District,Bay,SM20,2020-09-28,1,surface layer,1.1,5,86,6,<1,<1,0.077,0.009,7.8,2.7,30.7,2.3,0.08,3.8,24.8,0.11,0.76,0.85,0.17,1.8,<0.001,1.2,0.044,0.02
South District,Bay,SM20,2020-09-29,1,middle layer,0.9,5.4,103,7.2,<1,<1,0.065,0.008,7.7,1.9,30.9,2.3,0.11,4.2,24.7,0.1,0.34,0.41,0.03,2,<0.001,2,0.044,0.02
South District,Bay,SM20,2020-09-30,1,bottom layer,1.4,5.4,92,6.4,<1,1,0.063,0.008,7.7,1.7,31.1,2.3,0.14,4.8,24.7,0.1,0.2,0.27,<0.02,2.1,<0.001,1.4,0.016,0.007
South District,Bay,SM20,2020-10-01,1,surface layer,0.5,2.8,86,6,15,53,0.62,0.072,8,2.7,17.5,3,4,5.3,28.7,0.73,0.26,0.95,0.16,5.1,0.003,1.1,0.019,0.005
South District,Bay,SM20,2020-10-02,1,middle layer,0.6,2.4,63,4.5,2,4,0.44,0.032,7.9,1.2,19.2,3,3,5.2,27.7,0.5,0.35,0.82,0.19,5,0.001,1.3,0.027,0.009
South District,Bay,SM20,2020-10-03,1,bottom layer,0.6,0.9,64,4.4,1,5,0.17,<0.002,7.9,0.4,27.4,3,1.9,9.7,26.2,0.18,0.68,0.85,0.05,5.2,<0.001,2.1,0.008,0.012
South District,Bay,SM20,2020-10-04,1,surface layer,2.6,26,90,6.1,<1,<1,0.2,0.023,8.4,3.8,25.7,2.5,1.3,4.7,28.3,0.26,0.61,0.83,0.13,2.9,0.004,2.2,0.017,0.012
South District,Bay,SM20,2020-10-05,1,middle layer,1.9,26,132,8.9,<1,1,0.21,0.022,8.3,3.4,25.8,2.5,1.6,6,28.1,0.27,0.67,0.9,0.15,2,0.004,2.6,0.028,0.017
South District,Bay,SM20,2020-10-06,1,bottom layer,1.5,7.9,119,8.1,<1,<1,0.19,0.017,7.9,2.3,26.8,2.5,2.5,4.8,27.3,0.27,0.92,1.13,0.05,2.7,0.003,1.4,0.016,0.015
South District,Bay,SM20,2020-10-07,1,surface layer,1.4,3.2,78,5.4,<1,1,0.15,0.041,8,2,29.3,2.5,0.62,2.3,26.2,0.25,0.15,0.34,0.13,3.8,0.003,0.5,0.02,0.024
South District,Bay,SM20,2020-10-08,1,middle layer,2.2,3,68,4.7,<1,1,0.14,0.041,8,0.2,29.3,2.5,0.67,3.4,26.2,0.24,0.14,0.32,0.21,4.5,0.003,<0.5,0.015,0.015
South District,Bay,SM20,2020-10-09,1,bottom layer,2,1.6,74,5.1,1,2,0.13,0.041,7.9,2.5,30.2,2.5,1.4,9.1,25.6,0.24,0.4,0.57,0.12,9.3,0.003,1.5,0.011,0.018
South District,Bay,SM20,2020-10-10,1,surface layer,0.5,2.1,77,5,<1,2,0.1,0.022,8.2,0.5,31.3,2.5,1.2,13,28.1,0.18,1,1.12,0.05,8.3,0.004,2,0.026,0.006
South District,Bay,SM20,2020-10-11,1,middle layer,0.5,1.8,82,5.4,1,2,0.099,0.023,8.2,1.5,31.3,2.5,1.3,14,28,0.19,0.71,0.83,0.04,9.1,0.005,1.8,0.01,0.019
South District,Bay,SM20,2020-10-12,1,bottom layer,0.6,1.4,81,5.3,<1,1,0.1,0.022,8.2,3.2,31.3,2.5,1.3,27,28,0.18,0.59,0.71,0.05,10.4,0.004,3.8,0.046,0.017
South District,Bay,SM20,2020-10-13,1,surface layer,0.2,3.7,86,5.7,<1,<1,0.026,0.022,8,2.6,32.6,2,0.62,11,27.4,0.07,0.33,0.38,0.02,12.4,0.001,1.6,0.039,0.016
South District,Bay,SM20,2020-10-14,1,middle layer,0.3,3.9,75,5,<1,<1,0.028,0.021,8,1,32.6,2,0.64,17,27.3,0.09,0.72,0.77,0.03,10.6,0.002,2.3,0.039,0.016
South District,Bay,SM20,2020-10-15,1,bottom layer,0.2,4.3,73,4.9,<1,<1,0.028,0.021,8,2.1,32.7,2,0.63,36,27.3,0.08,0.89,0.94,0.05,18.9,0.001,4.2,0.018,0.006
South District,Bay,SM20,2020-10-16,1,surface layer,0.5,0.7,87,5.9,<1,<1,0.01,0.044,7.8,0.4,31.6,3,0.62,3.2,26.4,0.06,0.67,0.72,<0.02,5.2,<0.001,0.5,0.013,0.006
South District,Bay,SM20,2020-10-17,1,middle layer,0.4,1.6,83,5.7,<1,1,0.025,0.056,7.8,0.9,31.8,3,0.73,5.4,25.6,0.09,0.27,0.35,0.03,4.4,<0.001,1.2,0.016,0.02
South District,Bay,SM20,2020-10-18,1,bottom layer,0.2,1.4,84,5.8,<1,<1,0.022,0.054,7.8,1.4,31.7,3,0.72,7.6,25.4,0.08,0.28,0.36,0.02,5.7,<0.001,1.1,0.038,0.011
South District,Bay,SM20,2020-10-19,1,surface layer,0.5,3,86,6.3,<1,<1,0.11,0.013,8.1,1.8,31,2.2,1.1,20,22.2,0.15,0.31,0.43,0.03,6.8,<0.001,4.4,0.028,0.004
South District,Bay,SM20,2020-10-20,1,middle layer,0.6,2.1,95,6.9,<1,1,0.11,0.013,8.1,2.1,31,2.2,1.2,21,22.1,0.15,0.32,0.44,0.02,6.3,0.001,4.3,0.027,0.014
South District,Bay,SM20,2020-10-21,1,bottom layer,0.5,3.3,97,7,<1,<1,0.11,0.013,8.1,2.5,31,2.2,1.2,18,22.1,0.15,0.54,0.66,0.05,6.2,0.001,3.4,0.025,0.019
South District,Bay,SM3,2020-10-22,1,surface layer,0.6,1.6,98,7.4,<1,2,0.12,0.021,7.5,<0.2,31.8,6,0.92,0.7,19.8,0.18,0.96,1.1,0.04,2.2,<0.001,<0.5,0.024,0.015
South District,Bay,SM3,2020-10-23,1,middle layer,0.6,0.7,99,7.5,1,2,0.12,0.021,7.6,0.7,31.9,6,0.97,1,19.8,0.18,0.3,0.44,0.03,2.3,<0.001,<0.5,0.019,0.02
South District,Bay,SM3,2020-10-24,1,bottom layer,0.5,1.3,97,7.4,<1,<1,0.12,0.024,8,0.5,31.9,6,0.98,2,19.7,0.18,0.56,0.7,0.03,3.1,0.001,<0.5,0.053,0.022
South District,Bay,SM3,2020-10-25,1,surface layer,0.6,1.4,92,7.6,<1,<1,0.18,0.024,7.5,<0.2,31,3,1.1,3.5,15.7,0.24,0.18,0.38,0.02,4,<0.001,0.8,0.053,0.023
South District,Bay,SM3,2020-10-26,1,middle layer,0.8,0.9,98,8.1,<1,<1,0.18,0.025,7.6,0.4,30.9,3,1.1,4,15.7,0.24,0.15,0.36,0.02,4.2,<0.001,0.8,0.077,0.025
South District,Bay,SM3,2020-10-27,1,bottom layer,0.7,1.1,99,8.1,1,1,0.18,0.025,7.7,0.6,30.9,3,1.1,5.7,15.7,0.24,0.29,0.5,0.03,4.9,<0.001,1,0.011,0.011
South District,Bay,SM3,2020-10-28,1,surface layer,1.7,5.1,94,7.5,2,6,0.025,0.002,8.2,1,31.7,3.6,0.78,3.1,16.9,0.08,0.52,0.55,0.03,2.5,0.002,1.2,0.012,0.006
South District,Bay,SM3,2020-10-29,1,middle layer,1,4.8,109,8.6,3,8,0.024,0.004,8.2,1.3,31.9,3.6,0.8,2.9,17.2,0.07,0.54,0.57,<0.02,2.5,0.002,0.8,0.014,0.015
South District,Bay,SM3,2020-10-30,1,bottom layer,1.2,6.5,109,8.6,2,7,0.02,<0.002,8.3,1,31.9,3.6,0.78,3.9,17.2,0.08,0.63,0.65,0.02,2.6,0.002,1.2,0.096,0.015
South District,Bay,SM3,2020-10-31,1,surface layer,1.7,4.1,111,8.6,6,12,0.047,0.007,8.1,2,31.6,3.4,0.56,2.3,18.8,0.11,0.49,0.54,<0.02,0.9,0.002,1.1,0.055,0.01
South District,Bay,SM3,2020-11-01,1,middle layer,0.9,0.7,105,8.2,5,6,0.029,0.004,8,0.2,32.3,3.4,0.61,2.4,18.4,0.1,0.42,0.45,<0.02,1,0.002,0.8,0.038,0.008
South District,Bay,SM3,2020-11-02,1,bottom layer,0.8,0.4,99,7.7,3,3,0.024,0.009,8,<0.2,32.6,3.4,0.64,4,18.1,0.09,0.32,0.35,0.02,2.2,0.001,1,0.062,0.015
South District,Bay,SM3,2020-11-03,1,surface layer,1.1,2.2,96,6.8,<1,<1,0.086,0.011,8,0.7,31,2.2,0.71,1.9,23.7,0.16,0.32,0.42,0.05,1,0.003,0.8,0.066,0.022
South District,Bay,SM3,2020-11-04,1,middle layer,0.6,0.8,87,6.2,<1,2,0.039,0.009,8,0.6,32.2,2.2,0.62,4.1,22.6,0.11,0.3,0.35,0.02,2.7,0.002,0.8,0.056,0.027
South District,Bay,SM3,2020-11-05,1,bottom layer,0.8,0.5,85,6.1,<1,<1,0.013,0.008,8,0.4,32.7,2.2,0.59,6.2,22.4,0.07,0.42,0.44,0.03,3.8,0.002,1,0.023,0.004
South District,Bay,SM3,2020-11-06,1,surface layer,0.9,10,80,5.5,3,17,0.25,0.056,8,1.9,27.7,4,0.79,2,26.8,0.35,0.09,0.4,0.05,1.1,0.002,1.2,0.035,0.009
South District,Bay,SM3,2020-11-07,1,middle layer,0.5,2.9,55,3.7,<1,<1,0.054,0.056,8,0.7,32.8,4,0.73,1.6,25.5,0.14,0.47,0.58,0.04,2.1,0.001,0.7,0.041,0.016
South District,Bay,SM3,2020-11-08,1,bottom layer,0.4,3.3,49,3.3,<1,<1,0.043,0.055,8,1.1,33.6,4,0.81,3.1,24.8,0.12,0.3,0.4,0.03,3.3,<0.001,0.9,0.017,0.009
South District,Bay,SM3,2020-11-09,1,surface layer,2.4,5,80,5.6,<1,4,0.45,0.012,7.6,1.6,23.5,2.5,2.9,1.3,27.3,0.51,0.11,0.57,0.02,1.2,0.001,0.8,0.022,0.011
South District,Bay,SM3,2020-11-10,1,middle layer,1.2,1.1,67,4.7,1,3,0.15,0.005,7.3,0.8,32.9,2.5,1.9,5.9,23.6,0.17,0.75,0.91,0.03,1.7,<0.001,0.9,0.04,0.016
South District,Bay,SM3,2020-11-11,1,bottom layer,1.5,1.3,32,2.3,<1,7,0.18,0.004,7.3,1,34.1,2.5,1.9,5.3,22.8,0.21,0.56,0.74,0.03,4.1,<0.001,1.1,0.016,0.022
South District,Bay,SM3,2020-11-12,1,surface layer,0.7,1.6,79,5.5,2,18,0.13,0.023,7.8,<0.2,32.4,4,1.3,2,24.1,0.21,0.78,0.93,0.03,4.6,0.001,0.6,0.028,0.02
South District,Bay,SM3,2020-11-13,1,middle layer,0.7,1.4,60,4.2,1,5,0.075,0.015,7.9,0.8,33.6,4,0.97,5.7,23.5,0.11,0.2,0.29,0.03,5.3,<0.001,1,<0.005,0.029
South District,Bay,SM3,2020-11-14,1,bottom layer,0.5,1.4,57,4,4,5,0.077,0.017,7.9,0.7,33.6,4,1,6.9,23.4,0.12,0.5,0.59,0.03,5.9,<0.001,1.1,0.01,0.009
South District,Bay,SM3,2020-11-15,1,surface layer,0.4,0.7,91,6.1,5,93,0.19,0.064,7.8,<0.2,30.2,3,1.9,1.6,27.2,0.32,0.28,0.53,0.08,27.9,0.002,0.7,0.017,0.009
South District,Bay,SM3,2020-11-16,1,middle layer,0.3,1.1,76,5,3,27,0.074,0.024,8,<0.2,32,3,1,1.8,27.2,0.13,0.65,0.75,0.03,3,0.001,0.8,0.006,0.025
South District,Bay,SM3,2020-11-17,1,bottom layer,0.3,0.8,65,4.3,1,2,0.085,0.018,8,0.4,32.4,3,1.2,1.8,26.8,0.12,0.46,0.56,0.03,5.2,<0.001,0.7,0.033,0.013
South District,Bay,SM3,2020-11-18,1,surface layer,0.6,1.8,78,5,<1,<1,0.023,0.031,7.9,<0.2,32.4,3,1.2,1.7,28.7,0.09,0.39,0.44,0.02,3.5,0.002,0.8,0.045,0.014
South District,Bay,SM3,2020-11-19,1,middle layer,0.7,1.7,89,5.8,<1,<1,0.021,0.031,7.9,<0.2,32.5,3,1.2,1.8,28.4,0.08,1.1,1.15,0.04,3.1,0.001,0.6,0.049,0.009
South District,Bay,SM3,2020-11-20,1,bottom layer,0.6,1.8,89,5.8,1,1,0.014,0.024,7.9,<0.2,32.6,3,1.1,9.2,28.3,0.07,0.66,0.7,0.05,3.9,0.001,1.8,0.012,0.022
South District,Bay,SM3,2020-11-21,1,surface layer,0.4,1.6,86,5.8,<1,<1,0.043,0.015,7.8,1.1,31.2,2,0.38,4.6,26.1,0.11,0.5,0.56,0.03,35.7,0.002,0.8,0.016,0.007
South District,Bay,SM3,2020-11-22,1,middle layer,0.5,1.3,97,6.6,1,1,0.041,0.015,7.9,0.9,31.4,2,0.41,7,26.3,0.09,0.53,0.59,0.02,10.7,0.001,1.2,0.017,0.011
South District,Bay,SM3,2020-11-23,1,bottom layer,0.4,1.8,98,6.6,<1,<1,0.043,0.015,8,0.8,31.5,2,0.4,9.2,26.3,0.09,1.1,1.16,0.03,11.7,0.001,1.4,0.026,0.011
South District,Bay,SM3,2020-11-24,1,surface layer,0.3,1,94,6.7,1,2,0.13,0.026,8,0.8,31.3,2.5,1.2,4.2,23.1,0.18,0.33,0.49,0.02,11.4,<0.001,0.9,0.024,0.01
South District,Bay,SM3,2020-11-25,1,middle layer,0.2,0.9,93,6.6,<1,2,0.11,0.021,8,<0.2,31.3,2.5,1.1,5.4,23,0.14,0.3,0.43,0.03,5.8,<0.001,1,0.028,0.009
South District,Bay,SM3,2020-11-26,1,bottom layer,0.2,0.5,93,6.6,<1,<1,0.1,0.021,8,0.4,31.3,2.5,1.1,5.6,23,0.13,0.22,0.34,0.02,6.4,<0.001,0.6,0.016,0.012
South District,Bay,SM4,2020-11-27,1,surface layer,0.7,3.7,91,7,4,11,0.13,0.016,7.6,<0.2,31.2,3.5,0.41,7.8,18.9,0.21,0.28,0.43,0.02,2.4,<0.001,1.7,0.024,0.009
South District,Bay,SM4,2020-11-28,1,middle layer,0.9,5.6,95,7.3,<1,1,0.1,0.015,7.6,0.6,31.4,3.5,0.83,10,18.9,0.17,0.19,0.31,0.02,2.6,<0.001,2.3,0.018,0.017
South District,Bay,SM4,2020-11-29,1,bottom layer,0.8,2.4,97,7.5,<1,2,0.086,0.013,7.7,0.6,31.5,3.5,0.73,10,18.8,0.14,0.93,1.03,0.04,2.4,<0.001,2,0.097,0.026
South District,Bay,SM4,2020-11-30,1,surface layer,1.6,11,106,8.5,<1,<1,0.11,0.012,7.7,1.4,31.1,4.5,0.86,0.9,16.7,0.17,0.79,0.91,0.06,3,<0.001,0.6,0.095,0.028
South District,Bay,SM4,2020-12-01,1,middle layer,0.8,5.2,110,9,<1,<1,0.12,0.011,7.7,1.1,31.1,4.5,0.91,1.2,16.3,0.19,0.52,0.65,0.05,2.7,<0.001,0.9,0.12,0.025
South District,Bay,SM4,2020-12-02,1,bottom layer,0.6,4.7,108,8.7,<1,1,0.11,0.011,7.7,0.4,31.1,4.5,0.94,0.5,16.2,0.18,0.69,0.81,0.04,2.6,<0.001,<0.5,0.089,0.022
South District,Bay,SM4,2020-12-03,1,surface layer,2.6,13,120,9.5,1,16,0.03,0.003,8.4,1,30.9,4,0.53,1.6,17.5,0.06,0.37,0.4,0.03,0.9,0.002,1.3,0.1,0.032
South District,Bay,SM4,2020-12-04,1,middle layer,3.6,25,96,7.6,2,6,0.013,0.002,8.3,2.5,30.9,4,0.67,3.7,17.4,0.04,0.72,0.74,0.04,0.9,0.001,2.5,0.088,0.021
South District,Bay,SM4,2020-12-05,1,bottom layer,2.7,22,107,8.6,2,2,0.016,<0.002,8.3,3.1,31.1,4,0.6,3.4,17.2,0.04,0.72,0.74,0.07,1,0.001,2.6,0.17,0.023
South District,Bay,SM4,2020-12-06,1,surface layer,1.3,3.3,91,6.7,4,9,0.21,0.025,7.9,0.7,28.4,3,1.3,<0.5,22.4,0.33,0.64,0.88,0.07,1.1,0.003,<0.5,0.23,0.029
South District,Bay,SM4,2020-12-07,1,middle layer,1.3,2.7,99,7.2,2,8,0.13,0.016,8,0.6,30.8,3,0.85,1.5,21.8,0.2,0.38,0.53,0.04,0.8,0.002,0.7,0.081,0.018
South District,Bay,SM4,2020-12-08,1,bottom layer,1.3,1.8,96,7,<1,7,0.042,0.007,8,0.5,32.1,3,0.45,1.2,21.3,0.09,0.28,0.33,0.02,0.8,0.001,<0.5,0.17,0.018
South District,Bay,SM4,2020-12-09,1,surface layer,0.9,3.7,84,5.8,1,2,0.019,0.005,7.7,1,32.3,2,0.14,2.2,24.9,0.06,0.31,0.33,0.07,1.8,<0.001,0.8,0.15,0.023
South District,Bay,SM4,2020-12-10,1,middle layer,1,2.6,86,5.9,<1,3,0.015,0.004,7.6,0.7,32.3,2,0.23,4.5,24.8,0.08,0.39,0.41,0.02,3.3,0.001,0.8,0.15,0.034
South District,Bay,SM4,2020-12-11,1,bottom layer,0.8,2.6,80,5.5,1,2,0.013,0.004,7.6,1.4,32.5,2,0.26,9.9,24.7,0.06,0.52,0.54,0.03,6.2,<0.001,1.4,0.026,0.008
South District,Bay,SM4,2020-12-12,1,surface layer,1.2,9.3,98,6.6,<1,5,0.31,0.024,8.1,2.8,25.6,4,1.2,3.8,28.4,0.38,0.12,0.45,0.1,1.5,0.004,1.6,0.05,0.016
South District,Bay,SM4,2020-12-13,1,middle layer,1.6,8.3,91,6.2,1,4,0.31,0.026,8.1,3.9,25.7,4,1,2.2,28.3,0.4,0.24,0.58,0.21,1.3,0.005,0.8,0.063,0.018
South District,Bay,SM4,2020-12-14,1,bottom layer,0.7,1.8,89,6.1,<1,<1,0.061,0.014,8,1.3,27.3,4,0.74,2.8,27.6,0.15,0.51,0.59,0.04,2.4,0.004,0.8,0.014,0.012
South District,Bay,SM4,2020-12-15,1,surface layer,1.6,20,98,6.7,5,75,0.34,0.017,7.7,3.7,24.2,2.5,1.4,3.1,28,0.41,0.07,0.43,0.05,1.8,0.002,1.4,0.034,0.016
South District,Bay,SM4,2020-12-16,1,middle layer,0.4,5.9,99,6.9,5,27,0.32,0.022,7.5,1.9,26.3,2.5,2.2,1.8,26,0.39,0.07,0.41,0.07,1.2,<0.001,0.7,0.04,0.016
South District,Bay,SM4,2020-12-17,1,bottom layer,0.4,3,79,5.5,6,23,0.23,0.016,7.5,2,30.4,2.5,1.9,2.3,24.7,0.28,0.07,0.32,0.13,1.2,<0.001,0.8,0.029,0.012
South District,Bay,SM4,2020-12-18,1,surface layer,1.1,12,90,6.3,5,15,0.2,0.053,7.9,6.8,30.2,3,0.38,17,25.4,0.3,0.26,0.51,0.05,3.7,0.002,3.2,0.041,0.008
South District,Bay,SM4,2020-12-19,1,middle layer,0.8,11,73,5.1,3,16,0.19,0.052,7.9,2.8,30.6,3,0.66,15,25.1,0.28,0.3,0.54,0.04,3.1,0.001,2.4,0.053,0.016
South District,Bay,SM4,2020-12-20,1,bottom layer,0.6,7.6,75,5.2,2,8,0.15,0.045,7.9,2.6,31.2,3,0.75,16,24.8,0.23,0.2,0.4,0.03,3.1,0.001,2.6,0.02,0.012
South District,Bay,SM4,2020-12-21,1,surface layer,0.6,0.6,68,4.6,4,10,0.17,0.058,7.9,<0.2,30,2.5,1.8,1.4,27.4,0.27,0.17,0.4,0.04,3.3,0.002,0.6,0.037,0.016
South District,Bay,SM4,2020-12-22,1,middle layer,0.5,0.6,57,3.8,6,16,0.2,0.073,7.9,0.3,30.2,2.5,1.9,2.7,27.5,0.32,0.13,0.4,0.07,3.5,0.002,0.9,0.033,0.012
South District,Bay,SM4,2020-12-23,1,bottom layer,0.6,0.5,70,4.7,5,17,0.22,0.081,7.9,0.4,30.8,2.5,2.1,2.5,27.4,0.34,0.13,0.43,0.13,3.2,0.002,0.9,0.051,0.016
South District,Bay,SM4,2020-12-24,1,surface layer,0.6,1.8,92,6.1,37,78,0.065,0.035,7.9,0.4,31.8,2.5,0.94,20,27.2,0.18,0.76,0.86,0.04,10.2,0.003,4.6,0.053,0.014
South District,Bay,SM4,2020-12-25,1,middle layer,0.5,1.2,68,4.5,62,120,0.066,0.038,8,1,32,2.5,1,11,27,0.17,0.2,0.3,0.02,8.2,0.003,1.8,0.059,0.007
South District,Bay,SM4,2020-12-26,1,bottom layer,0.5,1.6,72,4.8,22,76,0.062,0.038,8,<0.2,32,2.5,0.96,20,27,0.17,0.34,0.44,0.03,6.5,0.003,3.2,0.022,0.008
South District,Bay,SM4,2020-12-27,1,surface layer,0.3,1,82,5.6,<1,2,0.13,0.1,7.9,<0.2,31.2,3.5,1.2,3,25.3,0.26,0.33,0.56,0.06,3.9,<0.001,0.6,0.033,0.025
South District,Bay,SM4,2020-12-28,1,middle layer,0.4,0.8,84,5.8,4,6,0.11,0.099,7.9,0.7,31.3,3.5,1.2,3.2,25.5,0.24,0.36,0.57,0.05,4,<0.001,0.7,0.037,0.017
South District,Bay,SM4,2020-12-29,1,bottom layer,0.3,1.2,87,6,2,5,0.11,0.091,7.9,0.7,31.4,3.5,1.1,3.2,25.5,0.21,0.38,0.58,0.03,4,<0.001,0.8,0.023,0.007
South District,Bay,SM4,2020-12-30,1,surface layer,0.9,6.3,93,6.9,2,7,0.12,0.016,7.9,2,30.7,4,0.53,18,21.5,0.24,0.4,0.54,0.04,3.2,0.003,5.4,0.029,0.009
South District,Bay,SM4,2020-12-31,1,middle layer,0.7,5,92,6.8,3,5,0.11,0.013,7.9,3.3,30.8,4,0.62,15,21.4,0.19,0.74,0.86,0.05,3.5,0.002,3.2,0.028,0.01
South District,Bay,SM4,2021-01-01,1,bottom layer,0.7,5,101,7.5,<1,6,0.11,0.013,7.9,3.8,30.8,4,0.61,16,21.3,0.19,0.33,0.45,0.03,3.6,0.002,3.8,0.11,0.018
South District,Bay,SM5,2021-01-02,1,surface layer,0.9,1.4,89,6.9,<1,1,0.099,0.015,7.7,<0.2,31.7,5,0.72,9.1,18.6,0.14,0.26,0.37,<0.02,2.6,<0.001,2,0.12,0.031
South District,Bay,SM5,2021-01-03,1,middle layer,0.7,4.4,97,7.5,<1,<1,0.11,0.016,7.7,1.3,31.7,5,0.72,8.7,18.6,0.16,0.19,0.32,<0.02,2.5,<0.001,1.5,0.11,0.029
South District,Bay,SM5,2021-01-04,1,bottom layer,0.8,1.9,96,7.4,<1,<1,0.093,0.014,7.7,<0.2,31.8,5,0.73,7.8,18.7,0.14,0.58,0.69,0.04,2.5,<0.001,1.6,0.18,0.021
South District,Bay,SM5,2021-01-05,1,surface layer,1.7,11,104,8.3,<1,<1,0.11,0.012,7.7,1,31,4,0.77,0.8,17.3,0.15,0.61,0.73,0.06,2.9,<0.001,0.6,0.18,0.017
South District,Bay,SM5,2021-01-06,1,middle layer,0.6,4.7,114,9.2,<1,<1,0.11,0.012,7.7,1.4,31.1,4,0.81,2.3,16.6,0.15,0.5,0.62,0.05,3.1,<0.001,0.8,0.2,0.012
South District,Bay,SM5,2021-01-07,1,bottom layer,0.2,4.9,107,8.7,<1,1,0.12,0.012,7.7,0.6,31.2,4,0.85,1.5,16.4,0.16,0.7,0.83,0.04,3.4,<0.001,0.8,0.081,0.027
South District,Bay,SM5,2021-01-08,1,surface layer,1.6,8.5,90,7.1,<1,<1,0.014,<0.002,8.3,0.8,31.5,3,0.72,2.3,17.6,0.03,0.54,0.56,0.02,1.2,<0.001,1.4,0.076,0.034
South District,Bay,SM5,2021-01-09,1,middle layer,1.7,10,85,6.7,<1,<1,0.01,<0.002,8.3,0.7,31.5,3,0.72,3.2,17.6,0.03,0.73,0.74,0.03,1.2,<0.001,1.8,0.082,0.025
South District,Bay,SM5,2021-01-10,1,bottom layer,1.3,9.3,79,6.2,<1,<1,0.013,<0.002,8.3,0.6,31.5,3,0.73,2.5,17.5,0.04,0.72,0.74,0.04,1.3,<0.001,1.6,0.14,0.022
South District,Bay,SM5,2021-01-11,1,surface layer,1.1,3,78,5.7,<1,1,0.22,0.026,8,1.3,29.3,3.2,1.4,1.4,22.4,0.33,0.52,0.77,0.05,0.9,0.003,0.5,0.13,0.021
South District,Bay,SM5,2021-01-12,1,middle layer,1.2,1.4,92,6.7,<1,1,0.053,0.007,8,0.5,30.1,3.2,0.58,1.8,22.1,0.1,0.36,0.42,0.03,1,0.002,0.6,0.14,0.022
South District,Bay,SM5,2021-01-13,1,bottom layer,0.8,1.2,93,6.8,<1,1,0.036,0.006,8,0.4,32.3,3.2,0.61,2.4,21.3,0.09,0.23,0.27,<0.02,1.8,0.002,0.6,0.16,0.014
South District,Bay,SM5,2021-01-14,1,surface layer,0.9,3.1,71,4.8,<1,2,0.018,0.004,7.6,0.4,32.3,2,0.36,4.7,25.5,0.06,0.59,0.61,0.06,3.2,<0.001,1.1,0.16,0.023
South District,Bay,SM5,2021-01-15,1,middle layer,0.7,2.5,79,5.4,<1,4,0.019,0.005,7.6,1.7,32.4,2,0.5,11,24.9,0.09,0.22,0.24,0.03,5.6,0.001,2,0.16,0.028
South District,Bay,SM5,2021-01-16,1,bottom layer,0.4,2.7,78,5.4,<1,<1,0.017,0.005,7.6,1.6,32.5,2,0.5,12,24.7,0.08,0.33,0.35,0.03,6.7,0.001,2.2,0.067,0.01
South District,Bay,SM5,2021-01-17,1,surface layer,1.5,12,124,8.3,<1,7,0.41,0.028,8.3,3.2,23.2,3,1.3,2.4,29.7,0.49,0.2,0.64,0.19,1.7,0.006,1,0.083,0.011
South District,Bay,SM5,2021-01-18,1,middle layer,1.3,8.6,103,6.9,<1,2,0.34,0.024,8.2,3.2,23.3,3,1.2,3.8,29.5,0.43,0.24,0.6,0.11,1.9,0.007,1.7,0.081,0.01
South District,Bay,SM5,2021-01-19,1,bottom layer,1.5,1.8,98,6.6,<1,6,0.11,0.012,8.1,1.7,24.8,3,0.76,2.4,28.9,0.2,0.22,0.34,0.03,1.4,0.005,<0.5,0.038,0.015
South District,Bay,SM5,2021-01-20,1,surface layer,5,47,181,12.2,<1,1,0.23,0.014,8.1,6.8,22.3,2,0.19,6.6,29.5,0.32,0.13,0.37,0.08,2.6,0.006,3.5,0.037,0.019
South District,Bay,SM5,2021-01-21,1,middle layer,1.7,39,184,12.6,2,2,0.33,0.014,7.9,8.9,22.5,2,1.1,4.4,28.8,0.4,0.06,0.4,0.03,1.6,0.002,2,0.04,0.019
South District,Bay,SM5,2021-01-22,1,bottom layer,0.9,10,148,10.2,2,10,0.32,0.021,7.5,4.4,25.9,2,2,2.2,27,0.39,0.12,0.46,0.09,1.2,<0.001,1,0.013,0.015
South District,Bay,SM5,2021-01-23,1,surface layer,2.4,6.3,149,10.1,<1,<1,0.17,0.042,8.5,5.9,26.8,1.5,<0.05,16,27.6,0.28,0.12,0.33,0.09,2.4,0.01,3.5,0.048,0.014
South District,Bay,SM5,2021-01-24,1,middle layer,1.7,26,135,9.3,<1,3,0.18,0.047,8.2,12,28.4,1.5,0.07,16,26.5,0.26,0.2,0.43,0.1,3.2,0.003,4.2,0.075,0.019
